WorkerId,sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
78b5e9744073532cc376976b5fc6b2fc,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.07,-0.31,-0.30,-0.27,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30
ff9c1993d2a21f2117c30d8e295dd4ac,-0.79,-0.79,-0.79,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.77,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.74,-0.72,-0.74,-0.75,-0.83,-0.86,-0.86,-0.86,-0.86,-0.86,-0.86,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.83,-0.82,-0.81,-0.82,-0.76,-0.70,-0.68,-0.67,-0.71,-0.72,-0.73,-0.73,-0.73,-0.73,-0.72,-0.72,-0.71,-0.71
a30d244141cb2f51e0803e79bc4bd147,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
eca1130f44cd2e17645e40a0fa2ef59b,-0.32,-0.34,-0.30,-0.27,-0.26,-0.28,-0.28,-0.24,-0.20,-0.18,-0.19,-0.21,-0.23,-0.25,-0.26,-0.27,-0.29,-0.30,-0.28,-0.26,-0.30,-0.32,-0.31,-0.31,-0.31,-0.27,-0.27,-0.29,-0.29,-0.29,-0.28,-0.28,-0.30,-0.30,-0.31,-0.32,-0.33,-0.34,-0.34,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.34,-0.34,-0.34,-0.34,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.34,-0.35,-0.36
1ac10b86ba5ac18e06eea9f9954ab216,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14
de2b2c35312ac2f0a8510743742c0219,-0.11,-0.10,-0.15,-0.21,-0.29,-0.44,-0.60,-0.80,-0.91,-0.97,-0.99,-1.00,-1.00,-1.00,-1.00,-1.00,-0.99,-0.94,-0.92,-0.89,-0.88,-0.90,-0.92,-0.92,-0.95,-0.94,-0.93,-0.93,-0.95,-0.96,-0.98,-0.97,-0.93,-0.91,-0.85,-0.82,-0.77,-0.78,-0.77,-0.75,-0.76,-0.82,-0.88,-0.97,-0.96,-0.92,-0.86,-0.85,-0.82,-0.79,-0.84,-0.86,-0.91,-0.91,-0.96,-0.96,-0.94,-0.94,-0.94,-0.92
00de940f0b5cfc82cca4791199e3bfb3,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.13,0.45,0.51,0.51,0.51,0.53,0.53,0.53,0.53,0.32,-0.11,-0.42,-0.49,-0.47,-0.43,-0.36,-0.21,-0.21,-0.20,-0.16,-0.11,-0.11,-0.26,-0.49,-0.71
607f6e34a0b5923333f6b16d3a59cc98,0.43,0.42,0.44,0.44,0.43,0.39,0.36,0.36,0.34,0.33,0.34,0.33,0.29,0.35,0.38,0.43,0.39,0.34,0.42,0.39,0.32,0.30,0.34,0.32,0.30,0.34,0.35,0.29,0.31,0.25,0.25,0.23,0.24,0.31,0.22,0.27,0.24,0.29,0.28,0.21,0.29,0.26,0.21,0.16,0.14,0.34,0.37,0.44,0.42,0.48,0.46,0.42,0.44,0.41,0.45,0.34,0.38,0.36,0.42,0.42
883449004b1bf2a07a284f59ddae1fd7,0.36,0.36,0.36,0.36,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.41,0.42,0.41,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.40,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.45,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.51,0.53,0.53,0.53,0.49,0.46,0.41,0.35,0.32,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
d5b7242bc8a4bb534b8489c24b81fc34,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.50,-0.56,-0.63,-0.68,-0.72,-0.73,-0.73,-0.73,-0.73
