sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
-0.68044,-0.70387,-0.70717,-0.70217,-0.70966,-0.71957,-0.73067,-0.73078,-0.72391,-0.73053,-0.72391,-0.72785,-0.70098,-0.6516,-0.53289,-0.51522,-0.49251,-0.51762,-0.50609,-0.53145,-0.70191,-0.72049,-0.71683,-0.69899,-0.69575,-0.6986,-0.71004,-0.71087,-0.7225,-0.73261,-0.7413,-0.74734,-0.75435,-0.74326,-0.74983,-0.76694,-0.75537,-0.73717,-0.75435,-0.76097,-0.75098,-0.74489,-0.73329,-0.72685,-0.74462,-0.75234,-0.75785,-0.75065,-0.74565,-0.7413,-0.7452,-0.76304,-0.75779,-0.75435,-0.75435,-0.75435,-0.75435,-0.77421,-0.7775,-0.74441
-0.073913,-0.073913,-0.073913,-0.073913,-0.073913,-0.073913,-0.073913,-0.073913,-0.073913,-0.073913,0.0029448,-0.0054444,-0.12509,-0.21045,-0.31164,-0.38344,-0.4,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.39565,-0.30963,-0.36246,-0.3168,-0.41954,-0.46522,-0.46087,-0.46087,-0.46087,-0.47277,-0.41345,-0.39903,-0.4087,-0.42174,-0.41304,-0.42569,-0.4417,-0.45252,-0.43379,-0.41483
-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.43044,-0.46139,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913,-0.4913
-0.71304,-0.71304,-0.71836,-0.74377,-0.80776,-0.82942,-0.83638,-0.83913,-0.83913,-0.84507,-0.87826,-0.88243,-0.89565,-0.89565,-0.89565,-0.89565,-0.89565,-0.89565,-0.89565,-0.89565,-0.89565,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087,-0.9087
-0.68487,-0.68922,-0.68922,-0.68922,-0.68922,-0.68922,-0.68922,-0.69247,-0.69357,-0.69792,-0.70227,-0.70263,-0.70362,-0.70462,-0.70562,-0.70661,-0.75012,-0.75012,-0.75012,-0.75012,-0.75012,-0.75447,-0.75447,-0.75882,-0.75882,-0.75882,-0.75882,-0.76317,-0.76317,-0.76317,-0.76317,-0.77187,-0.77187,-0.77187,-0.77187,-0.77187,-0.77622,-0.77622,-0.77622,-0.77622,-0.77622,-0.77622,-0.76484,-0.74142,-0.75692,-0.79325,-0.81493,-0.82407,-0.82407,-0.82407,-0.82407,-0.82407,-0.83277,-0.83789,-0.84582,-0.84582,-0.83587,-0.85594,-0.88497,-0.88497
-0.29348,-0.29348,-0.29348,-0.29348,-0.29348,-0.29348,-0.30247,-0.34564,-0.36117,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304,-0.36304
-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.24019,-0.23913,-0.23913,-0.23913,-0.23913,-0.23913,-0.23913,-0.26431,-0.27391,-0.28696,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043,-0.33043
-0.047826,-0.047826,-0.047826,-0.047826,-0.04847,-0.052174,-0.052174,-0.052174,-0.052174,-0.052174,-0.052174,-0.052174,-0.052174,-0.052756,-0.056522,-0.056522,-0.057492,-0.069565,-0.069565,-0.069565,-0.069565,-0.069565,-0.069565,-0.069565,-0.069565,-0.069565,-0.069565,-0.071134,-0.099013,-0.086957,-0.086957,-0.057336,0.026087,0.026364,0.02247,-0.069565,-0.10146,-0.1312,-0.15652,-0.15652,-0.15652,-0.15652,-0.15652,-0.15666,-0.19151,-0.25652,-0.26087,-0.31294,-0.32157,-0.32597,-0.35555,-0.36956,-0.40852,-0.44668,-0.44783,-0.44783,-0.45217,-0.45652,-0.46499,-0.46522
-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.27391,-0.3034,-0.34348,-0.36522,-0.36522,-0.36522,-0.36522,-0.36522,-0.36522,-0.36522
-0.34927,-0.37552,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.38261,-0.43164,-0.44348,-0.44348,-0.44348,-0.44348,-0.40768,-0.39565,-0.38654,-0.28696
